,ds,y
0,2000-01-01,66.23882
1,2001-01-01,68.6632
2,2002-01-01,72.37467
3,2003-01-01,75.88821
4,2004-01-01,78.93225
5,2005-01-01,81.49059
6,2006-01-01,85.09437
7,2007-01-01,87.11832
8,2008-01-01,93.22264
9,2009-01-01,94.96267
10,2010-01-01,92.64465
11,2011-01-01,93.4731
12,2012-01-01,95.58223
13,2013-01-01,98.60397
14,2014-01-01,99.77515
15,2015-01-01,99.34216
16,2016-01-01,101.4229
17,2017-01-01,102.4136
18,2018-01-01,103.7156
19,2019-01-01,104.6992
20,2020-01-01,106.8245
21,2000-02-01,65.78876
22,2001-02-01,68.87143
23,2002-02-01,72.34933
24,2003-02-01,75.6347
25,2004-02-01,78.62196
26,2005-02-01,81.33545
27,2006-02-01,84.85709
28,2007-02-01,86.97535
29,2008-02-01,93.08981
30,2009-02-01,94.52665
31,2010-02-01,91.93079
32,2011-02-01,93.30883
33,2012-02-01,95.69073
34,2013-02-01,98.34743
35,2014-02-01,99.41618
36,2015-02-01,99.60783
37,2016-02-01,100.8703
38,2017-02-01,102.5697
39,2018-02-01,103.5442
40,2019-02-01,104.9851
41,2020-02-01,107.075
42,2000-03-01,65.74303
43,2001-03-01,69.43331
44,2002-03-01,72.73262
45,2003-03-01,75.90443
46,2004-03-01,79.01945
47,2005-03-01,81.66804
48,2006-03-01,84.89156
49,2007-03-01,87.31606
50,2008-03-01,93.33418
51,2009-03-01,93.88985
52,2010-03-01,91.95209
53,2011-03-01,93.62012
54,2012-03-01,95.78706
55,2013-03-01,98.23183
56,2014-03-01,98.75505
57,2015-03-01,99.12618
58,2016-03-01,100.8277
59,2017-03-01,102.2169
60,2018-03-01,103.6334
61,2019-03-01,104.6079
62,2020-03-01,107.2281
63,2000-04-01,65.96944
64,2001-04-01,69.63493
65,2002-04-01,73.20413
66,2003-04-01,75.93587
67,2004-04-01,79.40579
68,2005-04-01,82.20039
69,2006-04-01,85.05482
70,2007-04-01,87.81494
71,2008-04-01,93.63331
72,2009-04-01,93.58666
73,2010-04-01,91.84359
74,2011-04-01,93.88377
75,2012-04-01,96.02028
76,2013-04-01,98.52589
77,2014-04-01,98.65467
78,2015-04-01,99.05215
79,2016-04-01,100.998
80,2017-04-01,102.1297
81,2018-04-01,103.749
82,2019-04-01,104.5866
83,2020-04-01,108.744
84,2000-05-01,65.78545
85,2001-05-01,70.00732
86,2002-05-01,73.5205
87,2003-05-01,76.14677
88,2004-05-01,79.76273
89,2005-05-01,82.28455
90,2006-05-01,85.23836
91,2007-05-01,87.92344
92,2008-05-01,93.81685
93,2009-05-01,93.08473
94,2010-05-01,91.81925
95,2011-05-01,94.13423
96,2012-05-01,95.85094
97,2013-05-01,99.13023
98,2014-05-01,98.3241
99,2015-05-01,99.56423
100,2016-05-01,101.287
101,2017-05-01,102.4308
102,2018-05-01,104.474
103,2019-05-01,105.0419
104,2020-05-01,108.7308
105,2000-06-01,65.70448
106,2001-06-01,70.19131
107,2002-06-01,73.71012
108,2003-06-01,76.27859
109,2004-06-01,79.77287
110,2005-06-01,82.29064
111,2006-06-01,85.69466
112,2007-06-01,88.08264
113,2008-06-01,94.42525
114,2009-06-01,92.70448
115,2010-06-01,92.01293
116,2011-06-01,94.20622
117,2012-06-01,96.23727
118,2013-06-01,99.75081
119,2014-06-01,98.28252
120,2015-06-01,100.0702
121,2016-06-01,101.5517
122,2017-06-01,102.3862
123,2018-06-01,104.9466
124,2019-06-01,105.4526
125,2020-06-01,108.3942
126,2000-07-01,66.13084
127,2001-07-01,70.65955
128,2002-07-01,74.01736
129,2003-07-01,76.70651
130,2004-07-01,80.12473
131,2005-07-01,82.11623
132,2006-07-01,86.04347
133,2007-07-01,88.31181
134,2008-07-01,94.51854
135,2009-07-01,92.50777
136,2010-07-01,92.19444
137,2011-07-01,94.38266
138,2012-07-01,96.08619
139,2013-07-01,100.3065
140,2014-07-01,98.30483
141,2015-07-01,99.67273
