,ds,y
0,1970-12-31,0.4207
1,1971-12-31,0.4175
2,1972-12-31,0.3863
3,1973-12-31,0.3502
4,1974-12-31,0.3467
5,1975-12-31,0.345
6,1976-12-31,0.4021
7,1977-12-31,0.4565
8,1978-12-31,0.4608
9,1979-12-31,0.4034
10,1980-12-31,0.4309
11,1981-12-31,0.5549
12,1982-12-31,0.6603
13,1983-12-31,0.862
14,1984-12-31,0.9662
15,1985-12-31,1.022
16,1986-12-31,0.8417
17,1987-12-31,0.7421
18,1988-12-31,0.7001
19,1989-12-31,0.7115
20,1990-12-31,0.6126
21,1991-12-31,0.6245
22,1992-12-31,0.6153
23,1993-12-31,0.7649
24,1994-12-31,0.8051
25,1995-12-31,0.7494
26,1996-12-31,0.7613
27,1997-12-31,0.88
28,1998-12-31,0.8979
29,1999-12-31,0.9386
30,2000-12-31,1.0854
31,2001-12-31,1.1175
32,2002-12-31,1.0626
33,2003-12-31,0.886
34,2004-12-31,0.8054
35,2005-12-31,0.8041
36,2006-12-31,0.7971
37,2007-12-31,0.7306
38,2008-12-31,0.6827
39,2009-12-31,0.7198
40,2010-12-31,0.755
41,2011-12-31,0.7194
42,2012-12-31,0.7783
43,2013-12-31,0.7532
44,2014-12-31,0.7537
45,2015-12-31,0.9017
46,2016-12-31,0.904
47,2017-12-31,0.8852
48,2018-12-31,0.8468
49,2019-12-31,0.8929
