,ds,y
0,1950-12-31,28069.735
1,1950-12-31,13496.009
2,1950-12-31,14573.726
3,1951-12-31,28219.62
4,1951-12-31,13462.062
5,1951-12-31,14781.573
6,1952-12-31,28399.03
7,1952-12-31,13422.112
8,1952-12-31,15020.261
9,1953-12-31,28600.358
10,1953-12-31,13389.0
11,1953-12-31,15269.669
12,1954-12-31,28818.01
13,1954-12-31,13359.555
14,1954-12-31,15527.794
15,1955-12-31,29048.395
16,1955-12-31,13332.418
17,1955-12-31,15792.936
18,1956-12-31,29290.079
19,1956-12-31,13306.903
20,1956-12-31,16064.918
21,1957-12-31,29543.624
22,1957-12-31,13284.057
23,1957-12-31,16343.955
24,1958-12-31,29811.316
25,1958-12-31,13264.536
26,1958-12-31,16632.392
27,1959-12-31,30096.581
28,1959-12-31,13250.232
29,1959-12-31,16932.55
30,1960-12-31,30402.411
31,1960-12-31,13242.338
32,1960-12-31,17246.904
33,1961-12-31,30729.652
34,1961-12-31,13158.081
35,1961-12-31,17659.489
36,1962-12-31,31075.477
37,1962-12-31,12993.319
38,1962-12-31,18171.756
39,1963-12-31,31432.771
40,1963-12-31,12828.537
41,1963-12-31,18695.848
42,1964-12-31,31791.941
43,1964-12-31,12659.259
44,1964-12-31,19226.145
45,1965-12-31,32146.263
46,1965-12-31,12484.31
47,1965-12-31,19756.731
48,1966-12-31,32491.644
49,1966-12-31,12301.343
50,1966-12-31,20285.901
51,1967-12-31,32830.187
52,1967-12-31,12112.231
53,1967-12-31,20814.075
54,1968-12-31,33168.775
55,1968-12-31,11919.551
56,1968-12-31,21345.621
57,1969-12-31,33517.683
58,1969-12-31,11728.542
59,1969-12-31,21885.652
60,1970-12-31,33883.749
61,1970-12-31,11540.275
62,1970-12-31,22440.001
63,1971-12-31,34267.466
64,1971-12-31,11392.372
65,1971-12-31,22971.545
66,1972-12-31,34664.234
67,1972-12-31,11282.948
68,1972-12-31,23477.574
69,1973-12-31,35069.431
70,1973-12-31,11174.037
71,1973-12-31,23991.52
72,1974-12-31,35476.423
73,1974-12-31,11062.608
74,1974-12-31,24509.868
75,1975-12-31,35879.209
76,1975-12-31,10947.303
77,1975-12-31,25028.014
78,1976-12-31,36276.752
79,1976-12-31,10827.747
80,1976-12-31,25545.353
81,1977-12-31,36666.767
82,1977-12-31,10704.518
83,1977-12-31,26059.011
84,1978-12-31,37040.396
85,1978-12-31,10574.395
86,1978-12-31,26563.309
87,1979-12-31,37386.81
88,1979-12-31,10435.145
89,1979-12-31,27049.604
90,1980-12-31,37698.196
91,1980-12-31,10284.959
92,1980-12-31,27511.836
93,1981-12-31,37971.972
94,1981-12-31,10173.004
95,1981-12-31,27898.258
96,1982-12-31,38209.693
97,1982-12-31,10146.458
98,1982-12-31,28163.253
99,1983-12-31,38413.317
100,1983-12-31,10110.351
101,1983-12-31,28403.71
102,1984-12-31,38586.708
103,1984-12-31,10065.801
104,1984-12-31,28622.319
105,1985-12-31,38733.876
106,1985-12-31,10014.429
107,1985-12-31,28821.455
108,1986-12-31,38855.626
109,1986-12-31,9956.239
110,1986-12-31,29001.835
111,1987-12-31,38954.497
112,1987-12-31,9892.177
113,1987-12-31,29165.036
114,1988-12-31,39038.692
115,1988-12-31,9824.37
116,1988-12-31,29317.235
117,1989-12-31,39118.561
118,1989-12-31,9755.899
119,1989-12-31,29465.841
120,1990-12-31,39202.525
121,1990-12-31,9688.522
122,1990-12-31,29617.58
123,1991-12-31,39299.081
124,1991-12-31,9642.918
125,1991-12-31,29760.282
126,1992-12-31,39410.857
127,1992-12-31,9637.807
128,1992-12-31,29877.704
129,1993-12-31,39533.725
130,1993-12-31,9635.304
131,1993-12-31,30003.331
132,1994-12-31,39660.069
133,1994-12-31,9633.307
134,1994-12-31,30131.255
135,1995-12-31,39787.419
136,1995-12-31,9631.181
137,1995-12-31,30259.317
138,1996-12-31,39908.959
139,1996-12-31,9627.169
140,1996-12-31,30382.155
141,1997-12-31,40035.293
142,1997-12-31,9623.946
143,1997-12-31,30507.614
144,1998-12-31,40201.56
145,1998-12-31,9629.839
146,1998-12-31,30662.803
147,1999-12-31,40454.47
148,1999-12-31,9656.031
149,1999-12-31,30883.692
150,2000-12-31,40824.754
151,2000-12-31,9709.605
152,2000-12-31,31194.106
153,2001-12-31,41319.427
154,2001-12-31,9792.19
155,2001-12-31,31599.913
156,2002-12-31,41919.585
157,2002-12-31,9852.597
158,2002-12-31,32132.923
159,2003-12-31,42596.453
160,2003-12-31,9904.876
161,2003-12-31,32748.53
162,2004-12-31,43308.345
163,2004-12-31,9961.494
164,2004-12-31,33390.174
165,2005-12-31,44019.123
166,2005-12-31,10014.136
167,2005-12-31,34028.496
168,2006-12-31,44728.565
169,2006-12-31,10062.286
170,2006-12-31,34663.246
171,2007-12-31,45429.076
172,2007-12-31,10104.737
173,2007-12-31,35289.121
174,2008-12-31,46068.811
175,2008-12-31,10130.511
176,2008-12-31,35867.295
177,2009-12-31,46583.565
178,2009-12-31,10127.186
179,2009-12-31,36348.886
180,2010-12-31,46931.015
181,2010-12-31,10086.595
182,2010-12-31,36702.035
183,2011-12-31,47084.24
184,2011-12-31,10004.441
185,2011-12-31,36904.697
186,2012-12-31,47063.06
187,2012-12-31,9886.091
188,2012-12-31,36971.313
189,2013-12-31,46930.555
190,2013-12-31,9744.548
191,2013-12-31,36953.005
192,2014-12-31,46777.925
193,2014-12-31,9599.224
194,2014-12-31,36922.603
195,2015-12-31,46671.926
196,2015-12-31,9464.206
197,2015-12-31,36933.458
198,2016-12-31,46634.14
199,2016-12-31,9343.737
200,2016-12-31,37003.839
201,2017-12-31,46647.428
202,2017-12-31,9233.918
203,2017-12-31,37120.403
204,2018-12-31,46692.858
205,2018-12-31,9130.38
206,2018-12-31,37267.072
