,ds,y,produce_type
0,2006-01-01,0.0,round
16,2006-01-08,0.0,round
32,2006-01-15,0.0,round
48,2006-01-22,0.0,round
64,2006-01-29,0.0,round
80,2006-02-05,0.0,round
96,2006-02-12,0.0,round
112,2006-02-19,0.0,round
128,2006-02-26,0.0,round
144,2006-03-05,0.0,round
160,2006-03-12,0.0,round
176,2006-03-19,0.0,round
192,2006-03-26,0.0,round
208,2006-04-02,0.0,round
224,2006-04-09,0.0,round
240,2006-04-16,0.0,round
256,2006-04-23,0.0,round
272,2006-04-30,0.0,round
288,2006-05-07,0.0,round
304,2006-05-14,0.0,round
320,2006-05-21,0.0,round
336,2006-05-28,0.0,round
352,2006-06-04,0.0,round
368,2006-06-11,0.0,round
384,2006-06-18,0.0,round
400,2006-06-25,0.0,round
416,2006-07-02,0.0,round
432,2006-07-09,0.0,round
448,2006-07-16,0.0,round
464,2006-07-23,0.0,round
480,2006-07-30,0.0,round
496,2006-08-06,0.0,round
512,2006-08-13,0.0,round
528,2006-08-20,0.0,round
544,2006-08-27,0.0,round
560,2006-09-03,0.0,round
576,2006-09-10,0.0,round
592,2006-09-17,0.0,round
608,2006-09-24,0.0,round
624,2006-10-01,76.39,round
640,2006-10-08,65.81,round
656,2006-10-15,58.68,round
672,2006-10-22,55.09,round
688,2006-10-29,59.7,round
704,2006-11-05,66.72,round
720,2006-11-12,55.74,round
736,2006-11-19,60.54,round
752,2006-11-26,58.62,round
768,2006-12-03,71.55,round
784,2006-12-10,58.33,round
800,2006-12-17,91.27,round
816,2006-12-24,87.35,round
832,2006-12-31,0.0,round
1,2007-01-07,94.47,round
17,2007-01-14,83.17,round
33,2007-01-21,86.07,round
49,2007-01-28,91.13,round
65,2007-02-04,89.48,round
81,2007-02-11,83.99,round
97,2007-02-18,68.62,round
113,2007-02-25,59.63,round
129,2007-03-04,60.51,round
145,2007-03-11,79.73,round
161,2007-03-18,91.82,round
177,2007-03-25,0.0,round
193,2007-04-01,0.0,round
209,2007-04-08,0.0,round
225,2007-04-15,0.0,round
241,2007-04-22,0.0,round
257,2007-04-29,0.0,round
273,2007-05-06,0.0,round
289,2007-05-13,51.73,round
305,2007-05-20,46.33,round
321,2007-05-27,39.23,round
337,2007-06-03,40.09,round
353,2007-06-10,47.32,round
369,2007-06-17,58.15,round
385,2007-06-24,54.73,round
401,2007-07-01,52.9,round
417,2007-07-08,55.59,round
433,2007-07-15,66.51,round
449,2007-07-22,62.26,round
465,2007-07-29,60.42,round
481,2007-08-05,63.07,round
497,2007-08-12,0.0,round
513,2007-08-19,0.0,round
529,2007-08-26,0.0,round
545,2007-09-02,0.0,round
561,2007-09-09,47.47,round
577,2007-09-16,0.0,round
593,2007-09-23,0.0,round
609,2007-09-30,0.0,round
625,2007-10-07,86.4,round
641,2007-10-14,85.23,round
657,2007-10-21,79.96,round
673,2007-10-28,81.93,round
689,2007-11-04,87.03,round
705,2007-11-11,92.2,round
721,2007-11-18,92.92,round
737,2007-11-25,83.16,round
753,2007-12-02,81.46,round
769,2007-12-09,81.83,round
785,2007-12-16,83.1,round
801,2007-12-23,89.82,round
817,2007-12-30,91.88,round
833,2008-01-06,0.0,round
2,2008-01-13,91.9,round
18,2008-01-20,74.86,round
34,2008-01-27,63.07,round
50,2008-02-03,58.48,round
66,2008-02-10,47.78,round
82,2008-02-17,52.8,round
98,2008-02-24,60.32,round
114,2008-03-02,61.18,round
130,2008-03-09,61.82,round
146,2008-03-16,68.13,round
162,2008-03-23,83.07,round
178,2008-03-30,0.0,round
194,2008-04-06,0.0,round
210,2008-04-13,0.0,round
226,2008-04-20,0.0,round
242,2008-04-27,0.0,round
258,2008-05-04,0.0,round
274,2008-05-11,0.0,round
290,2008-05-18,69.34,round
306,2008-05-25,68.06,round
322,2008-06-01,64.76,round
338,2008-06-08,58.71,round
354,2008-06-15,58.34,round
370,2008-06-22,59.68,round
386,2008-06-29,60.12,round
402,2008-07-06,54.26,round
418,2008-07-13,60.46,round
434,2008-07-20,71.42,round
450,2008-07-27,67.61,round
466,2008-08-03,73.95,round
482,2008-08-10,77.9,round
498,2008-08-17,65.12,round
514,2008-08-24,66.95,round
530,2008-08-31,70.27,round
546,2008-09-07,71.72,round
562,2008-09-14,69.68,round
578,2008-09-21,0.0,round
594,2008-09-28,0.0,round
610,2008-10-05,0.0,round
626,2008-10-12,75.75,round
642,2008-10-19,87.24,round
658,2008-10-26,94.8,round
674,2008-11-02,81.93,round
690,2008-11-09,65.14,round
706,2008-11-16,62.37,round
722,2008-11-23,75.91,round
738,2008-11-30,86.22,round
754,2008-12-07,88.19,round
770,2008-12-14,86.86,round
786,2008-12-21,91.13,round
802,2008-12-28,90.18,round
818,2009-01-04,0.0,round
834,2009-01-11,0.0,round
3,2009-01-18,91.9,round
19,2009-01-25,74.55,round
35,2009-02-01,63.96,round
51,2009-02-08,0.0,round
67,2009-02-15,60.86,round
83,2009-02-22,53.53,round
99,2009-03-01,51.99,round
115,2009-03-08,49.3,round
131,2009-03-15,59.82,round
147,2009-03-22,74.58,round
163,2009-03-29,88.84,round
179,2009-04-05,0.0,round
195,2009-04-12,0.0,round
211,2009-04-19,0.0,round
227,2009-04-26,0.0,round
243,2009-05-03,0.0,round
259,2009-05-10,0.0,round
275,2009-05-17,0.0,round
291,2009-05-24,105.61,round
307,2009-05-31,86.92,round
323,2009-06-07,72.92,round
339,2009-06-14,65.94,round
355,2009-06-21,42.2,round
371,2009-06-28,41.82,round
387,2009-07-05,44.77,round
403,2009-07-12,46.65,round
419,2009-07-19,39.5,round
435,2009-07-26,42.92,round
451,2009-08-02,41.56,round
467,2009-08-09,38.24,round
483,2009-08-16,47.05,round
499,2009-08-23,46.39,round
515,2009-08-30,45.96,round
531,2009-09-06,46.29,round
547,2009-09-13,52.18,round
563,2009-09-20,57.33,round
579,2009-09-27,0.0,round
595,2009-10-04,0.0,round
611,2009-10-11,0.0,round
627,2009-10-18,77.0,round
643,2009-10-25,82.89,round
659,2009-11-01,71.19,round
675,2009-11-08,50.52,round
691,2009-11-15,59.51,round
707,2009-11-22,57.58,round
723,2009-11-29,47.39,round
739,2009-12-06,47.36,round
755,2009-12-13,50.79,round
771,2009-12-20,51.97,round
787,2009-12-27,0.0,round
803,2010-01-03,91.56,round
819,2010-01-10,88.57,round
835,2010-01-17,0.0,round
4,2010-01-24,74.68,round
20,2010-01-31,72.09,round
36,2010-02-07,77.88,round
52,2010-02-14,86.74,round
68,2010-02-21,87.0,round
84,2010-02-28,95.38,round
100,2010-03-07,100.91,round
116,2010-03-14,107.79,round
132,2010-03-21,135.85,round
148,2010-03-28,125.05,round
164,2010-04-04,101.23,round
180,2010-04-11,0.0,round
196,2010-04-18,0.0,round
212,2010-04-25,0.0,round
228,2010-05-02,0.0,round
244,2010-05-09,0.0,round
260,2010-05-16,0.0,round
276,2010-05-23,0.0,round
292,2010-05-30,67.44,round
308,2010-06-06,61.3,round
324,2010-06-13,64.61,round
340,2010-06-20,54.12,round
356,2010-06-27,56.5,round
372,2010-07-04,53.42,round
388,2010-07-11,76.06,round
404,2010-07-18,83.55,round
420,2010-07-25,75.88,round
436,2010-08-01,62.66,round
452,2010-08-08,70.21,round
468,2010-08-15,64.22,round
484,2010-08-22,55.53,round
500,2010-08-29,66.0,round
516,2010-09-05,71.12,round
532,2010-09-12,63.21,round
